customer_message,brand_response,human_intent,human_decision,human_reason,simple_reply_pred,trivial_intent,trivial_decision,trivial_reply,simple_intent,simple_decision
"@115821 is there a way to put your dash buttons on my iPhone home screen? If not, that is an idea!","@172068 There isn't, but we are always looking to improve. Please leave your feedback here: https://t.co/bHUUcjy3s8 ^AF",DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,"@172068 There isn't, but we are always looking to improve. Please leave your feedback here: https://t.co/bHUUcjy3s8 ^AF",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@AmazonHelp Yes I know my order will be delivered as per estimate but i am saying Amazon sends it via a long route.,"@489873 I get your concern, I'll surely forward this as feedback internally and will make sure that this is worked upon in the future. ^SS",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@489873 I get your concern, I'll surely forward this as feedback internally and will make sure that this is worked upon in the future. ^SS",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp I did it.. let me see when you will respond. Because after fillling it again said 12 hours and some scheduled time to get back..,"@207033 Thanks for filling in the details, Jameel. We'll review the same and communicate with you soon. ^JC",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@207033 Thanks for filling in the details, Jameel. We'll review the same and communicate with you soon. ^JC",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp SoundMagic E10C In-Ear https://t.co/aEU0hrj353 problem still exists if @115850  cannot rectify a mistake then don't waste my time.,"@451314 international market. Hence, the hike in price. (2/2) ^KA",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@451314 international market. Hence, the hike in price. (2/2) ^KA",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp I've pre ordered Xbox One X with you and it still has not dispatched and the money hasn't been taken. Is this normal?,@513970 What was the expected delivery date shown when the order was placed? You can find it from this link:  https://t.co/aaDyEz1VgE ^CH,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@513970 What was the expected delivery date shown when the order was placed? You can find it from this link:  https://t.co/aaDyEz1VgE ^CH,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp No, but that isn't the point, if I cant trust you to package things properly then I will go elsewhere","@135301 Understandable. Could you please provide packaging feedback here https://t.co/er0nUJBAOj.
^AV",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@135301 Understandable. Could you please provide packaging feedback here https://t.co/er0nUJBAOj.
^AV",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp 😍😍 siii! Grazie per la puntualità! ❤,@310407 poi facci sapere se ti piace! 😊 ^MZ,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@310407 poi facci sapere se ti piace! 😊 ^MZ,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
雪見だいふく食べたいがためにAmazonプライムナウで配達してもらうってゆう…すみませんいつもお世話になっております、ありがとうお兄さん（´-`）.｡oO,@170929 (ご利用ありがとうございます)O o｡.(´ω`) ET,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@170929 (ご利用ありがとうございます)O o｡.(´ω`) ET,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@115850 I have a complaint.can you help me #AmazonIndia,@431276 We'll be happy to help. Kindly elaborate your concern. ^SG,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@431276 We'll be happy to help. Kindly elaborate your concern. ^SG,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@119625 hey #AmazonPrime team...I have problem with you guys...Movie aur shows to aache dete nahi aur subscription 499 to 999 kar diya...Kya yaar...,"@679788 I get your concern. We keep adding new content, please stay tuned for more updates. From my end I have forwarded your comments for a review internally. Appreciate your cooperation. ^BS",TECH_SUPPORT,AUTO_HANDLE,Rule-based Proxy,"@679788 I get your concern. We keep adding new content, please stay tuned for more updates. From my end I have forwarded your comments for a review internally. Appreciate your cooperation. ^BS",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",TECH_SUPPORT,AUTO_HANDLE
@115821 @AmazonHelp @123644 your two day Prime delivery guarantee is worthless. I'm going to have my entire order charged back.,@224287 I'm so sorry we've let you down! Have we missed the delivery date given in your order confirmation e-mail? ^HS,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@224287 I'm so sorry we've let you down! Have we missed the delivery date given in your order confirmation e-mail? ^HS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp Wednesday for one, today for the other. We’ll see what happens to the next one.",@138658 Are you seeing this trend with a specific carrier? Please let us know! ^MT,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@138658 Are you seeing this trend with a specific carrier? Please let us know! ^MT,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
今初めて知った・・・・自分Amazonプライム会員だったと・・・・・・・・・・,@132466 (1/2)以前ご注文の際にAmazonプライム無料体験をご利用されておりませんか？お申込み後、自動更新をOFFにされていない場合、体験終了後有料会員へ移行となります。会員情報は、アカウントサービス&gt;Amazonプライム会員情報を管理するにてご確認いただけます。ET,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@132466 (1/2)以前ご注文の際にAmazonプライム無料体験をご利用されておりませんか？お申込み後、自動更新をOFFにされていない場合、体験終了後有料会員へ移行となります。会員情報は、アカウントサービス&gt;Amazonプライム会員情報を管理するにてご確認いただけます。ET,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@115850 worst Customer Care Service.,"@400234 Sorry to hear that, Akshay. Could you please tell us what went wrong so we could check right away? ^HK",DELIVERY_STATUS,ESCALATE,Rule-based Proxy,"@400234 Sorry to hear that, Akshay. Could you please tell us what went wrong so we could check right away? ^HK",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,ESCALATE
"@AmazonHelp Me habéis mandado un código de 5€ tras haber pillado una tarjeta de 25, pero al intentar canjearlo en una reserva me dice que no funciona","@721560 Hola, recuerda revisar los términos y condiciones pues son válidos para algunos productos solamente. Si deseas ayuda puedes contactarnos: https://t.co/3VUNgKvI9r ^JD",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@721560 Hola, recuerda revisar los términos y condiciones pues son válidos para algunos productos solamente. Si deseas ayuda puedes contactarnos: https://t.co/3VUNgKvI9r ^JD",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Y que me dices a esto?  Se supone que hoy debería llegar!! https://t.co/p6hmRBu6Kp,"@379036 Lamento este inconveniente, ¿Has entrado en contacto con el transportista para verificar lo sucedido? ^AZ",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@379036 Lamento este inconveniente, ¿Has entrado en contacto con el transportista para verificar lo sucedido? ^AZ",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115850 gaaand fat gayi kya .Reply nehi kar rahe ho,@194891 Apologies for the trouble with your order. Please share your details here: https://t.co/GIJyeYqKE0. We'll get this checked. ^HD,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@194891 Apologies for the trouble with your order. Please share your details here: https://t.co/GIJyeYqKE0. We'll get this checked. ^HD,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
I guess the @115821 #locker was full @115817 #noprimeforyou https://t.co/pAO3qMpiNt,@166198 Hello Michael! Did you recieve your parcel? ^CN,TECH_SUPPORT,AUTO_HANDLE,Rule-based Proxy,@166198 Hello Michael! Did you recieve your parcel? ^CN,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",TECH_SUPPORT,AUTO_HANDLE
"@115830 - just had this notification, we’ve been at home since 5.00pm today and no one has been to our door. Think you need a word with your delivery drivers. https://t.co/yCZt2xyqox","@273613 I'm sorry it was delivered! If this parcel doesn't arrive Thursday, or for direct assistance, please reach us via phone or chat here: https://t.co/JzP7hlA23B
-John R.",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@273613 I'm sorry it was delivered! If this parcel doesn't arrive Thursday, or for direct assistance, please reach us via phone or chat here: https://t.co/JzP7hlA23B
-John R.",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"昨日頼んでもう届いた
Amazon有能 https://t.co/d99TZvwrSS",@442779 いつもご利用ありがとうございます。😊ET,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@442779 いつもご利用ありがとうございます。😊ET,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@AmazonHelp Why late,@170803 We apologize for the delay in the order. You can report this to our support team here : https://t.co/R3EfhzgU8B ^CB.,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@170803 We apologize for the delay in the order. You can report this to our support team here : https://t.co/R3EfhzgU8B ^CB.,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp What 3 times is so that’s more worrying,@649988 There are a few possible options why your orders were returned to the sender and they don't necessarily have to do anything with your own address. If you contact us by using the link provided to you we'll be able to provide more information. ^MA,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@649988 There are a few possible options why your orders were returned to the sender and they don't necessarily have to do anything with your own address. If you contact us by using the link provided to you we'll be able to provide more information. ^MA,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp C'est bon ! Le livreur vient d'arriver j'ai bien récupéré le colis Merci,@421899 Je suis ravie d'appendre cela. ^BR,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@421899 Je suis ravie d'appendre cela. ^BR,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"Hey @AmazonHelp can you confirm that this refurbished printer comes with the ""starter"" toner? Thanks! https://t.co/yJaWblct7s","@631344 Sure! After reviewing the description listed, this item does not appear to include starter toner. ^QJ",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@631344 Sure! After reviewing the description listed, this item does not appear to include starter toner. ^QJ",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
AmazonのPrimeビデオ、ロードス島戦記のOVAはあるわ勇者シリーズはあるわ、キングゲイナーはあるわで充実しすぎててどうかしてる,@501793 プライム・ビデオをお楽しみいただき、ありがとうございます。( *• ̀ω•́ )b ｸﾞｯ☆ ET,TECH_SUPPORT,AUTO_HANDLE,Rule-based Proxy,@501793 プライム・ビデオをお楽しみいただき、ありがとうございます。( *• ̀ω•́ )b ｸﾞｯ☆ ET,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",TECH_SUPPORT,AUTO_HANDLE
@115850 package is out for delivery still haven't received it yet.The tracking ID:115107715754. Delivery guy not answering the call.,@133897 I'm sorry your facing the delivery issues. We deliver the packages till 8pm. I request you to kindly wait till this time frame. Do keep us posted for any further concerns. We're here to help. ^HS,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@133897 I'm sorry your facing the delivery issues. We deliver the packages till 8pm. I request you to kindly wait till this time frame. Do keep us posted for any further concerns. We're here to help. ^HS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"おいいいいい！発売する三ヶ月前から予約注文で受け付けた品物くらい発売日にきっちり届けろよAmazonさんw

だからkonozamaとか言われるんだよw",@118831 恐れ入りますが、予約商品でも発売日のお届けを確約しておりません。https://t.co/vwDxlbpOLC  なお、発売日/発売日前日にお届けする場合、一定の条件を満たしている注文のみです。https://t.co/f3TKbgOOgv  TY,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@118831 恐れ入りますが、予約商品でも発売日のお届けを確約しておりません。https://t.co/vwDxlbpOLC  なお、発売日/発売日前日にお届けする場合、一定の条件を満たしている注文のみです。https://t.co/f3TKbgOOgv  TY,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
やばい、私いつからプライム会員なんや……？プライムビデオもミュージックも何もやってなかった……勿体なすぎ……,"@601133 リプライ失礼いたします、Amazon公式です。意図しないご登録とのことで誠に恐縮ですが、色々なプライム特典をご用意しておりますので、ご活用いただければ幸いです m(_ _)m 
特典については、こちらをご参照ください。https://t.co/JVlaJGORZx  HM",DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,"@601133 リプライ失礼いたします、Amazon公式です。意図しないご登録とのことで誠に恐縮ですが、色々なプライム特典をご用意しておりますので、ご活用いただければ幸いです m(_ _)m 
特典については、こちらをご参照ください。https://t.co/JVlaJGORZx  HM",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
アマゾンプライムでトリプルナイン視聴出来るようになってるぞーーー！(歓喜,@782186 |ω・).｡oO( よろこんでいただけてよかったです・・・！） SK,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@782186 |ω・).｡oO( よろこんでいただけてよかったです・・・！） SK,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
"Hey @115821, when you show me an ad in my @126 feed featuring products I browsed literally just a few minutes before in your app or on your site, it creeps me out and is definitely not a way to entice me to buy. Thanks for listening.",@793654 Contact Instagram Support for assistance about the advertising. ^CS,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@793654 Contact Instagram Support for assistance about the advertising. ^CS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
I wish I could have an explanation from @115850 how I violated their review policy here. https://t.co/VY5yg6Qsmb,@407065 As long as the review submitted adheres to the review guidelines mentioned here: https://t.co/NL0u2rPBfv the review is posted on the website. You might want to recheck the review. Appreciate your understanding. ^PB,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@407065 As long as the review submitted adheres to the review guidelines mentioned here: https://t.co/NL0u2rPBfv the review is posted on the website. You might want to recheck the review. Appreciate your understanding. ^PB,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp  I ordered one phone lg q6  14th Oct and paid advance payment due to some problem I back my phone to Amazon executive same day,@445299 I understand your concern. Have you reported this to our support team here: https://t.co/rS49hgsbvd for assistance? ^GD,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@445299 I understand your concern. Have you reported this to our support team here: https://t.co/rS49hgsbvd for assistance? ^GD,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp Bonsoir, c'est Amazon Logistics https://t.co/J6s3HCcp5Q",@382688 Avez-vous signalé cet incident à notre service client je vous prie?,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@382688 Avez-vous signalé cet incident à notre service client je vous prie?,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Many of my issues are unanswered there. I don't trust anymore.,@337608 I'm sorry for the trouble. Please reply to the email received from our team. We will check &amp; connect with you. ^RW,NON_ENGLISH,ESCALATE,Rule-based Proxy,@337608 I'm sorry for the trouble. Please reply to the email received from our team. We will check &amp; connect with you. ^RW,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,ESCALATE
Lol everything I ordered off @115821 got delivered today &amp; it’s all broken 👏🙌.,@127783 I'm sorry the order arrived broken! Was it shipped by Amazon directly or one of our sellers: https://t.co/Y5jpI9gRhE? ^EP,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@127783 I'm sorry the order arrived broken! Was it shipped by Amazon directly or one of our sellers: https://t.co/Y5jpI9gRhE? ^EP,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp The option wasn't available. I had selected 2-day prime shipping.,"@168217 If Release-Date Delivery wasn't present at checkout or mentioned in the confirmation e-mail, it may not have been available.^CL",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@168217 If Release-Date Delivery wasn't present at checkout or mentioned in the confirmation e-mail, it may not have been available.^CL",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp So I am told to await a reply, and I hear nothing. I eventually make contact MYSELF to be told nothing was being done even after getting a confirmation email the issue was under investigation #customerservice #amazon #dontknowhyibothered #joke","@263837 In the e-mail, was a specific team referenced that this was being escalated to? If it was Account Specialists, they typically contact via e-mail. Have you checked all folders to ensure it wasn't routed to junk or spam folders? ^AN",NON_ENGLISH,ESCALATE,Rule-based Proxy,"@263837 In the e-mail, was a specific team referenced that this was being escalated to? If it was Account Specialists, they typically contact via e-mail. Have you checked all folders to ensure it wasn't routed to junk or spam folders? ^AN",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,ESCALATE
@AmazonHelp Today they said to collect now they are saying today we don't collect .I can't even connect to the customer service also .,@507067 Apologies for the trouble with the return. Kindly connect with our support team here: https://t.co/rS49hgaADF ^AK,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@507067 Apologies for the trouble with the return. Kindly connect with our support team here: https://t.co/rS49hgaADF ^AK,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"Amazonのコンビ、ATM支払いの番号ってEメールでくるの？
ワイスマホでGoogleメしか使っとらんし持ってないよEメール
誰か詳しい人〜",@481165 リプライ失礼いたします。携帯電話番号にてアカウント登録をされておりますか？その場合、当サイトからのお知らせはメッセージセンターにてご確認をお願いいたします。以下リンクよりアクセスできます。https://t.co/FUZsKqv3bM HM,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@481165 リプライ失礼いたします。携帯電話番号にてアカウント登録をされておりますか？その場合、当サイトからのお知らせはメッセージセンターにてご確認をお願いいたします。以下リンクよりアクセスできます。https://t.co/FUZsKqv3bM HM,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
Ok shout out to @115821 for having awesome customer service! 👏🏼 #FeedingMyAddiction,@398814 Shout out to Amanda for being an awesome Amazon customer! ^BE,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@398814 Shout out to Amanda for being an awesome Amazon customer! ^BE,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@153820 food arrived 45 minutes late. Stone cold #poorservice,@153819 I'm very sorry for this experience. Please allow us to take a look into this with you here: https://t.co/JzP7hlA23B ^DO,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@153819 I'm very sorry for this experience. Please allow us to take a look into this with you here: https://t.co/JzP7hlA23B ^DO,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Order was to be delivered last Sat and I waited till Tuesday to inquire. Was told they would refund and to reorder. Now it won't come till Monday next week. Every excuse in the book!,@283010 Did you receive any confirmation about a refund for the original order?^PJ,NON_ENGLISH,ESCALATE,Rule-based Proxy,@283010 Did you receive any confirmation about a refund for the original order?^PJ,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,ESCALATE
@AmazonHelp His parcels keep going next door as the previous owner was using his adress as hers,@127738 Have you noticed this issue with a specific carrier? They may be able to provide more help with your brother's address. ^TK,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@127738 Have you noticed this issue with a specific carrier? They may be able to provide more help with your brother's address. ^TK,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"Another day, another ""guaranteed"" delivery date not met by @115821's own delivery/courier service.",@532864 Someone from my team would like to look into this with you. Please provide all details you can here: https://t.co/kIBL44tmHy ^AJ,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@532864 Someone from my team would like to look into this with you. Please provide all details you can here: https://t.co/kIBL44tmHy ^AJ,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115830 APPALLING SERVICE YESTERDAY. UPS Delivery drivers that lie and have to return twice and still don't deliver my parcel correctly!,@190900 I'm sorry for the awful experience! Have you had a chance to reach us for your available options: https://t.co/hApLpMlfHN? ^DW,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@190900 I'm sorry for the awful experience! Have you had a chance to reach us for your available options: https://t.co/hApLpMlfHN? ^DW,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp I haven't received my mobile yet, and you are asking for feedback. Now how low can you go? #pathetic https://t.co/ZwZiSO2rZt","@144362 The email sent to you is an automated feedback email. However, I'll be sure to share your comments on this as feedback with our team internally for a review. ^SF",NON_ENGLISH,ESCALATE,Rule-based Proxy,"@144362 The email sent to you is an automated feedback email. However, I'll be sure to share your comments on this as feedback with our team internally for a review. ^SF",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,ESCALATE
